cell_line,depmap_id,disease,condition,time_hours,n_cells,library_size,source_tag,eligible_t10,eligible_t20,eligible_t30
SKMEL3_SKIN,ACH-000423,skin cancer,untreated,48,30,1005922,Untreated_48hr,True,True,False
SNU1079_BILIARY_TRACT,ACH-000209,bile duct cancer,control,3,14,587385,DMSO_3hr,True,False,False
SNU1079_BILIARY_TRACT,ACH-000209,bile duct cancer,control,6,21,906226,DMSO_6hr,True,False,False
SNU1079_BILIARY_TRACT,ACH-000209,bile duct cancer,control,12,25,968899,DMSO_12hr,True,False,False
SNU1079_BILIARY_TRACT,ACH-000209,bile duct cancer,control,24,19,685314,DMSO_24hr,True,False,False
SNU1079_BILIARY_TRACT,ACH-000209,bile duct cancer,control,48,28,1160088,DMSO_48hr,True,False,False
SNU1079_BILIARY_TRACT,ACH-000209,bile duct cancer,trametinib,3,13,565701,Tram_3hr,True,False,False
SNU1079_BILIARY_TRACT,ACH-000209,bile duct cancer,trametinib,6,12,378998,Tram_6hr,True,False,False
SNU1079_BILIARY_TRACT,ACH-000209,bile duct cancer,trametinib,12,16,596521,Tram_12hr,True,False,False
SNU1079_BILIARY_TRACT,ACH-000209,bile duct cancer,trametinib,24,23,814650,Tram_24hr,True,False,False
SNU1079_BILIARY_TRACT,ACH-000209,bile duct cancer,trametinib,48,26,942359,Tram_48hr,True,False,False
SNU1079_BILIARY_TRACT,ACH-000209,bile duct cancer,untreated,48,25,1092982,Untreated_48hr,True,False,False
SQ1_LUNG,ACH-000553,lung cancer,control,3,42,1873946,DMSO_3hr,True,True,True
SQ1_LUNG,ACH-000553,lung cancer,control,6,37,1857408,DMSO_6hr,True,True,True
SQ1_LUNG,ACH-000553,lung cancer,control,12,52,2314307,DMSO_12hr,True,True,True
SQ1_LUNG,ACH-000553,lung cancer,control,24,57,2615575,DMSO_24hr,True,True,True
SQ1_LUNG,ACH-000553,lung cancer,control,48,90,4381922,DMSO_48hr,True,True,True
SQ1_LUNG,ACH-000553,lung cancer,trametinib,3,38,2081909,Tram_3hr,True,True,True
SQ1_LUNG,ACH-000553,lung cancer,trametinib,6,30,1769967,Tram_6hr,True,True,True
SQ1_LUNG,ACH-000553,lung cancer,trametinib,12,33,1600676,Tram_12hr,True,True,True
SQ1_LUNG,ACH-000553,lung cancer,trametinib,24,75,3023995,Tram_24hr,True,True,True
SQ1_LUNG,ACH-000553,lung cancer,trametinib,48,61,2471904,Tram_48hr,True,True,True
SQ1_LUNG,ACH-000553,lung cancer,untreated,48,40,2413431,Untreated_48hr,True,True,True
TEN_ENDOMETRIUM,ACH-000397,endometrial/uterine cancer,control,3,44,1843514,DMSO_3hr,True,True,True
TEN_ENDOMETRIUM,ACH-000397,endometrial/uterine cancer,control,6,38,1855042,DMSO_6hr,True,True,True
